"ID","Description","Quantity","底数","Designator","MPN","Manufactor"
"1","E ink Module 4.2inch-400x300px-Black-White;L97*W77*H1.15mm","1","1",,"HINK-E042A162","XingTai"
"2","PCBA; BeagleBadge","1","1",,,
"2.1","PCBA;BM3301 Module-1216","1","1","U25",,
"2.1.1","SMD Filter 2400MHz-2500MHz;4P-SMD-L1.6*W0.8*H0.6mm","1","1","U3","DEA162450BT-1295A1","TDK"
"2.1.2","SMD CAP Ceramic 10pF-25V-±5%-NPO;0201-D*Hmm","3","1","C1,C2,C24","CC0201JRNPO8BN100","YAGEO"
"2.1.3","SMD CAP Ceramic 100nF-10V-10%-X5R;0201","9","1","C6,C7,C8,C9,C10,C18,C20,C21,C23","CC0201KRX5R6BB104","YAGEO"
"2.1.4","SMD CAP Ceramic 4.7uF-10V-±10%-X5R;0402","2","1","C17,C22","CL05A475KP5NRNC","Samsung"
"2.1.5","SMD IPEX-GEN4 Female CONN;4P-L1.7*W1.7*H0.6mm","1","1","J1","ECT818000500","ECT"
"2.1.6","SMD Crystal 40MHz-9pF-10ppm-40R;4P-L2.0*W1.6*H0.5mm","1","1","Y1","Y4000Fc001","ECEC"
"2.1.7","CC3301 1216 shielding cover;0.2mm thickness","1","1",,,
"2.1.8","SMD CAP Ceramic 1uF-10V-±10%-X5R;0402","1","1","C5","CL05A105KP5NNNC","Samsung"
"2.1.9","SMD RES 200K-1%-1/20W;0201","1","1","R3","RC0201FR-07200KL","YAGEO"
"2.1.10","SMD IC RF;2.4GHz Wi-Fi 6 and BLE 5.4;QFN40","1","1","U2","CC3301ENJARSBR","TI"
"2.1.11","SMD CAP Ceramic;1uF-6.3V-±20%-X5R;0201","2","1","C3,C4","CC0201MRX5R5BB105","YAGEO"
"2.1.12","PCB;BM3301-1216 Module v1.0-Black-4L","1","1",,,
"2.1.13","SMD RES 0R-±1%-1/20W;0201","4","1","R1,R2,R4,L1","RC0201FR-070RL","YAGEO"
"2.1.14","SMD CAP Ceramic 10uF-6.3V-±20%-X5R;0402","1","1","C13","CL05A106MQ5NUNC","Samsung"
"2.1.15","SMD Ferrite Bead;120R-2A;0603","1","1","FB1","BLM18PG121SN1D","Murata"
"2.1.16","SMD IC PMIC;LDO-1.8V-300mA;X2SON-1*1-4L","1","1","U1","TLV73318PDQNR3","TI"
"2.2","SMD RES 0R-5%-1/16W;0402","81","1","R35,R40,R43,R44,R46,R48,R50,R51,R52,R107,R134,R135,R136,R137,R138,R139,R187,R197,R199,R200,R212,R213,R214,R223,R227,R228,R229,R230,R231,R232,R287,R289,R291,R292,R294,R298,R299,R300,R301,R302,R303,R304,R307,R309,R315,R321,R323,R325,R326,R327,R510,R515,R517,R518,R523,R527,R538,R539,R540,R543,R550,R554,R555,R556,R557,R567,R573,R580,R582,R583,R595,R598,R603,R607,R613,R614,R617,R619,R624,R627,R641","RC0402JR-070RL","YAGEO"
"2.3","SMD RES 22R-5%-1/16W;0402","7","1","R208,R209,R210,R211,R551,R553,R622","RC0402JR-0722RL","YAGEO"
"2.4","SMD RES 1K-5%-1/16W;0402","33","1","R85,R174,R182,R183,R184,R185,R193,R194,R196,R253,R254,R255,R256,R257,R258,R259,R264,R265,R266,R267,R268,R269,R270,R276,R277,R279,R280,R285,R286,R346,R347,R502,R623","RC0402JR-071KL","YAGEO"
"2.5","SMD RES 4.7K-5%-1/16W;0402","15","1","R14,R55,R56,R147,R148,R150,R151,R152,R153,R177,R178,R179,R288,R621,R655","RC0402JR-074K7L","YAGEO"
"2.6","SMD RES 100R-5%-1/16W;0402","1","1","R140","RC0402JR-07100RL","YAGEO"
"2.7","SMD RES 49.9R-1%-1/16W;0402","3","1","R66,R149,R154","RC0402FR-0749R9L","YAGEO"
"2.8","SMD RES 1M-1%-1/16W;0402","1","1","R166","RC0402FR-071ML","YAGEO"
"2.9","SMD RES 10K-1%-1/16W;0402","100","1","R1,R2,R20,R21,R25,R26,R31,R47,R49,R54,R67,R68,R74,R75,R81,R83,R108,R119,R125,R127,R128,R141,R142,R144,R159,R164,R165,R167,R168,R175,R186,R207,R218,R219,R220,R224,R226,R233,R234,R235,R236,R237,R241,R244,R245,R246,R247,R248,R271,R272,R273,R281,R312,R319,R324,R330,R335,R344,R350,R490,R491,R492,R493,R494,R495,R496,R497,R498,R500,R507,R508,R511,R520,R524,R525,R526,R533,R544,R546,R547,R560,R562,R563,R566,R576,R579,R599,R601,R606,R608,R609,R610,R611,R612,R615,R618,R620,R625,R644,R647","RC0402FR-0710KL","YAGEO"
"2.10","SMD RES 36K-±1%-1/16W;0402-D*Hmm","1","1","R332","RC0402FR-0736KL","YAGEO"
"2.11","SMD RES 47K-1%-1/16W;0402","13","1","R117,R118,R129,R130,R131,R132,R133,R201,R202,R203,R204,R205,R206","RC0402FR-0747KL","YAGEO"
"2.12","SMD RES 40.2K-1%-1/16W;0402","1","1","R191","RC0402FR-0740K2L","YAGEO"
"2.13","SMD RES 20K-1%-1/16W;0402","4","1","R161,R163,R195,R649","RC0402FR-0720KL","YAGEO"
"2.14","SMD RES 200K-1%-1/16W;0402","1","1","R342","RC0402FR-07200KL","YAGEO"
"2.15","SMD RES 0R-5%-1/10W;0603","9","1","R189,R275,R306,R630,R631,R637,R650,R651,R652","RC0603JR-070RL","YAGEO"
"2.15.D","SMD RES 0R-1/10W;0603","9","1","R189,R275,R306,R630,R631,R637,R650,R651,R652","ERJ-3GEY0R00V","Panasonic"
"2.16","SMD RES 0R-5%-1/4W;1206","1","1","R8","RC1206JR-070RL","YAGEO"
"2.17","SMD RES 100K-1%-1/16W;0402","22","1","R6,R22,R24,R28,R29,R88,R89,R95,R96,R98,R99,R101,R282,R283,R284,R295,R310,R505,R531,R648,R653,R654","RC0402FR-07100KL","YAGEO"
"2.18","SMD RES;5.1K-1%-1/16W;0402","2","1","R4,R5","RC0402FR-075K1L","YAGEO"
"2.19","SMD RES 0R-±1%-1/20W;0201","9","1","R57,R64,R120,R123,R126,R143,R274,R338,R552","RC0201FR-070RL","YAGEO"
"2.20","SMD RES;11K-1%-1/16W-0402","1","1","R313","RC0402FR-0711KL","YAGEO"
"2.21","SMD RES 270K-±1%-1/16W;0402-D*Hmm","1","1","R329","RC0402FR-07270KL","YAGEO"
"2.22","SMD RES 60.4K-±1%-1/16W;0402-D*Hmm","1","1","R331","RC0402FR-0760K4L","YAGEO"
"2.23","SMD 453K-1%-1/16W-0402","1","1","R3","RC0402FR-07453KL","YAGEO"
"2.24","SMD RES 12K-1%-1/16W;0402","1","1","R513","RC0402FR-0712KL","YAGEO"
"2.25","SMD RES 2.2K-1%-1/16W;0402","2","1","R105,R278","RC0402FR-072K2L","YAGEO"
"2.26","SMD RES 180K-1%-1/16W;0402","1","1","R311","RC0402FR-07180KL","YAGEO"
"2.27","SMD RES 10mR-±1%-1W;1206-D*Hmm","1","1","R501","RLM12FTCMR010","TA-I"
"2.28","SMD RES 2.2R-1%-1/10W;0603","1","1","R308","RC0603FR-072R2L","YAGEO"
"2.29","SMD RES 240R-1%-1/16W;0402","2","1","R104,R106","RC0402FR-07240RL","YAGEO"
"2.30","SMD RES 13.3K-1%-1/16W;0402","1","1","R192","RC0402FR-0713K3L","YAGEO"
"2.31","SMD RES 44.2K-1%-1/16W;0402","1","1","R32","RC0402FR-0744K2L","YAGEO"
"2.32","SMD RES 499R-1%-1/16W;0402","3","1","R146,R156,R158","RC0402FR-07499RL","YAGEO"
"2.33","SMD RES 91K-±1%-1/16W;0402-D*Hmm","1","1","R157","RC0402FR-0791KL","YAGEO"
"2.34","SMD RES 9.53KR-1%-1/16W;0402","1","1","R160","RC0402FR-079K53L","YAGEO"
"2.35","SMD CAP Ceramic 100nF-16V-10%-X7R;0402","71","1","C3,C8,C33,C35,C160,C161,C163,C164,C165,C166,C168,C169,C170,C171,C173,C174,C177,C213,C215,C219,C221,C225,C226,C227,C229,C232,C233,C234,C241,C243,C248,C249,C250,C251,C265,C269,C272,C277,C278,C279,C281,C374,C375,C376,C377,C381,C382,C384,C387,C391,C392,C393,C394,C401,C410,C411,C477,C479,C481,C482,C485,C486,C487,C488,C489,C490,C491,C492,C493,C494,C498","CC0402KRX7R7BB104","YAGEO"
"2.36","SMD CAP Ceramic 220pF-50V-5%-NPO;0402","5","1","C26,C176,C245,C500,C503","CC0402JRNPO9BN221","YAGEO"
"2.37","SMD CAP Ceramic 22pF-50V-5%-NPO;0402","17","1","C123,C235,C236,C237,C238,C239,C240,C242,C389,C395,C396,C397,C398,C399,C400,C480,C497","CC0402JRNPO9BN220","YAGEO"
"2.38","SMD CAP Ceramic 27pF-50V-5%-NPO;0402","2","1","C180,C181","CC0402JRNPO9BN270","YAGEO"
"2.39","SMD CAP Ceramic 10uF-10V-10%-X5R;0603","3","1","C268,C270,C271","CC0603KRX5R6BB106","YAGEO"
"2.40","SMD CAP Ceramic 1uF-25V-10%-X7R;0603","10","1","C252,C253,C254,C255,C256,C257,C258,C259,C260,C261","CC0603KRX7R8BB105","YAGEO"
"2.41","SMD CAP Ceramic 470nF-10V-10%-X5R;0402","2","1","C276,C383","CC0402KRX5R6BB474","YAGEO"
"2.42","SMD CAP Ceramic 100nF-10V-10%-X5R;0201","33","1","C23,C25,C67,C68,C69,C70,C76,C77,C78,C85,C86,C87,C90,C113,C115,C118,C128,C138,C149,C183,C187,C189,C193,C196,C197,C201,C204,C207,C210,C211,C388,C390,C506","CC0201KRX5R6BB104","YAGEO"
"2.43","SMD CAP Ceramic 1nF-16V-10%-X7R;0201","9","1","C185,C190,C191,C194,C199,C202,C205,C208,C217","CC0201KRX7R7BB102","YAGEO"
